cycle,branch,type,matchup,forecastdate,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,url,poll_id,question_id,createddate,timestamp,total clinton,total trump
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,South Carolina,11/7/15,11/8/15,Public Policy Polling,B+,1290,v,3.17E-07,42,47,,,40.8024,45.83417,,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_SC_111715.pdf,35362,47298,11/19/15,11/8/16 9:35,526.35096,591.260793
2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,South Carolina,11/7/15,11/8/15,Public Policy Polling,B+,1290,v,3.17E-07,42,47,,,40.86663,45.82412,,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_SC_111715.pdf,35362,47298,11/19/15,11/8/16 9:24,527.179527,591.131148
2016,President,polls-only,Clinton vs. Trump vs. Johnson,11/8/16,South Carolina,11/7/15,11/8/15,Public Policy Polling,B+,1290,v,3.17E-07,42,47,,,40.86641,45.80082,,,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_SC_111715.pdf,35362,47298,11/19/15,11/8/16 9:14,527.176689,590.830578
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/9/15,11/13/15,Roanoke College,C+,555,rv,1.65E-08,50,36,,,50.06914,37.33009,,,,http://www.roanoke.edu/Documents/rcpoll/Nov2015.Consumer%20Sentiment%20and%20Politics%20Topline.pdf,35390,47304,12/7/15,11/8/16 9:35,277.883727,207.1819995
2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/9/15,11/13/15,Roanoke College,C+,555,rv,1.65E-08,50,36,,,49.71022,37.9378,,,,http://www.roanoke.edu/Documents/rcpoll/Nov2015.Consumer%20Sentiment%20and%20Politics%20Topline.pdf,35390,47304,12/7/15,11/8/16 9:24,275.891721,210.55479
2016,President,polls-only,Clinton vs. Trump vs. Johnson,11/8/16,Virginia,11/9/15,11/13/15,Roanoke College,C+,555,rv,1.65E-08,50,36,,,49.38183,38.09856,,,,http://www.roanoke.edu/Documents/rcpoll/Nov2015.Consumer%20Sentiment%20and%20Politics%20Topline.pdf,35390,47304,12/7/15,11/8/16 9:14,274.0691565,211.447008
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/11/15,11/15/15,Quinnipiac University,A-,1262,rv,0,37,48,,,36.486,46.5984,,,,http://www.quinnipiac.edu/images/polling/co/co11182015_c23tbvm.pdf,35382,47262,11/19/15,11/8/16 9:35,460.45332,588.071808
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,11/12/15,11/15/15,Marquette University,A,803,rv,0,48,38,,,47.88224,38.70704,,,,https://law.marquette.edu/poll/wp-content/uploads/2015/11/MLSP31ToplinesFinal.pdf,35397,47341,12/7/15,11/8/16 9:35,384.4943872,310.8175312
2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Wisconsin,11/12/15,11/15/15,Marquette University,A,803,rv,0,48,38,,,47.94114,38.65112,,,,https://law.marquette.edu/poll/wp-content/uploads/2015/11/MLSP31ToplinesFinal.pdf,35397,47341,12/7/15,11/8/16 9:24,384.9673542,310.3684936
2016,President,now-cast,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/11/15,11/15/15,Quinnipiac University,A-,1262,rv,0,37,48,,,36.44332,46.51105,,,,http://www.quinnipiac.edu/images/polling/co/co11182015_c23tbvm.pdf,35382,47262,11/19/15,11/8/16 9:24,459.9146984,586.969451
2016,President,polls-only,Clinton vs. Trump vs. Johnson,11/8/16,Colorado,11/11/15,11/15/15,Quinnipiac University,A-,1262,rv,0,37,48,,,36.47744,46.5933,,,,http://www.quinnipiac.edu/images/polling/co/co11182015_c23tbvm.pdf,35382,47262,11/19/15,11/8/16 9:14,460.3452928,588.007446
